Q29,Q29_TEXT,Q10,Q11,Q12,Q14,Q31,Q15,Q16,Q17,Q18,Q19,Q28,Q20,Q20_TEXT,Q21,Q22,Q22_TEXT
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,33,Male,14,4-year degree,Yes,IT,Computer and Information Systems Managers,Part-time,Private (for-profit) sector,Yes,No,American Dollar,35000,30,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,28,Male,1,4-year degree,Yes,Bartender,Bartenders,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,45000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,33,Female,4,2-year degree,Yes,quality auditor,Quality Control Analysts,Full-time,Private (for-profit) sector,Yes,No,American Dollar,35000,40,Caucasian, 
United States, ,41,Female,6,2-year degree,Yes,cashier,cashiers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,20000,40,Caucasian, 
United States, ,56,Male,30,High school/GED,Yes,carpenter, ,Full-time,Private (for-profit) sector,No,No,American Dollar,17000,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,43,Male,2,4-year degree,Yes,general manager,"1-1011.00 	First-Line Supervisors of Retail Sales Workers",Full-time,Private (for-profit) sector,Yes,No,American Dollar,42000,45,Caucasian, 
United States, ,54,Male,1,High school/GED,Yes,landscape specialist,Landscaping and Groundskeeping Workers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"18,000",35,Caucasian, 
United States, ,55,Female,1,High school/GED,Yes,Instructional Assistant,Teacher Assistants,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,15000,22,Caucasian, 
United States, ,22,Female,1,2-year degree,Yes,teachers assistant,teacher assistants,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,25,African American, 
United States, ,21,Male,3,High school/GED,Yes,Relocation Specialist,Light Truck or Delivery Services Drivers,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"15,000",20,Caucasian, 
United States, ,31,Female,1,4-year degree,Yes,Administrative Assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"19,980.00",40,Caucasian, 
United States, ,22,Male,3,4-year degree,Yes,Financial Advisor,Financial manager,Full-time,Private (for-profit) sector,No,No,I'd rather not say, ,40,Caucasian, 
United States, ,32,Male,2,4-year degree,Yes,Analyst,Financial Quantitative Analysts,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,51500,40,Hispanic, 
 , , , , , , , , , , , , , , , , , 
United States, ,32,Male,1,Masters or equivalent,No,visiting teaching assistant  professor,Graduate Teaching Assistants,Full-time,Public (not-for-profit) sector,No,No,American Dollar,13,40,Other:,middle eastern
United States, ,23,Male,1,High school/GED,Yes,transcriptionist,Proofreaders and Copy Markers,Part-time,Private (for-profit) sector,No,Yes,American Dollar,"11,000",30,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,18,Female,0.5,High school/GED,Yes,Call Center Worker,"Switchboard Operators, Including Answering Service",Part-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,12,Caucasian, 
United States, ,36,Male, ,4-year degree,Yes, ,Fine Artist, ,Private (for-profit) sector, ,No,American Dollar,"15,000",20,Hispanic, 
United States, ,27,Male,5,Masters or equivalent,Yes,Research scientist,Physicist,Full-time,Private (for-profit) sector,Yes,No,American Dollar,36000,60,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,50,Female,5,4-year degree,Yes,Transcriber.,31-9094.00 - Medical Transcriptionists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,20000,50,Native American, 
United States, ,25,Female,2,Masters or equivalent,Yes,"Research Associate, Online Sales and Social Media Manager",Archivists,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,61,Male,20,Masters or equivalent,Yes,software engineer,"Software Developers, Systems Software",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"$150,000 ",40,Caucasian, 
United States, ,27,Female,1,High school/GED,Yes,Self-employed,"27-1013.00	Fine Artists, Including Painters, Sculptors, and Illustrators",Part-time,Private (for-profit) sector,No,No,I'd rather not say, ,20,Caucasian, 
United States, ,40,Male,6,2-year degree,Yes,Product Sales and Technical Specialist,"41-4012.00 - Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Full-time,Private (for-profit) sector,Yes,No,American Dollar,65000,48,Caucasian, 
United States, ,32,Female,1,Masters or equivalent,Yes,Administrator,"Education Administrators, All Other",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"21,000",40,Caucasian, 
United States, ,32,Female,3,4-year degree,Yes,Office Culture Manager,"Office and Administrative Support Workers, All Other",Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,35,Caucasian, 
United States, ,30,Female,0.5,2-year degree,Yes,homemaker,Personal Care Aides,Full-time,Public (not-for-profit) sector,No,No,American Dollar,"590,000",60,Caucasian, 
United States, ,28,Male,7,High school/GED,Yes,manager,General and Operations Managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,40,Caucasian, 
United States, ,19,Male,0,High school/GED,Yes,N/A,N/A,Part-time,Private (for-profit) sector,No,No,I'd rather not say, ,0,Caucasian, 
United States, ,32,Female,5,Ph.D. or equivalent,Yes,Audiologist,Audiologists,Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,20,Female,1,High school/GED,Yes,Dietary Aide,Dietetic Technician,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"19,100.00",35,Other:,Mixed
United States, ,52,Female,5,High school/GED,Yes,Credit Manager,Credit Analysts,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"21,000.00",40,Caucasian, 
United States, ,31,Female,4,High school/GED,Yes,Stock Clerk,"Stock Clerks, Sales Floor",Full-time,Private (for-profit) sector,Yes,No,American Dollar,28000,40,Caucasian, 
United States, ,39,Female,4,Masters or equivalent,Yes,Teacher,"25-2053.00 	Special Education Teachers, Middle School",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"38,000",45,Caucasian, 
United States, ,25,Female,3,2-year degree,Yes,Caretaker,Personal Care Aides,Full-time,Private (for-profit) sector,Yes,No,American Dollar,25000,40,Caucasian, 
United States, ,25,Female,1.5,4-year degree,Yes,Teacher,"Special Education Teachers, Secondary School",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"40,000",40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,40,Female,9,2-year degree,Yes,project coach,Training and Development Specialists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"36,500",40,Caucasian, 
United States, ,24,Male,3,2-year degree,Yes,EMT,Emergency Medical Technicians and Paramedics,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,28000,48,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,38,Female,0,High school/GED,Yes,N/A,N/A, , ,No,Yes,American Dollar,1200,0,Caucasian, 
United States, ,41,Female,8,2-year degree,Yes,Customer Service Representative,43-4051.00 Customer Service Representatives,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,34,Male,7,High school/GED,Yes,A/V Techinition - Audience Responce Specialist,"Media and Communication Workers, All Other",Part-time,Private (for-profit) sector,No,No,I'd rather not say, ,30,Caucasian, 
United States, ,57,Female,15,4-year degree,Yes,REALTOR,41-9022.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,60000,45,Caucasian, 
United States, ,28,Female,4,Masters or equivalent,Yes,laboratory specialist,microbiologist,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,60000,40,Caucasian, 
United States, ,31,Male,2,High school/GED,Yes,CSR,41-9041.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"22,000",40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
Canada, ,43,Female,10,Masters or equivalent,Yes,social worker,Healthcare Social Workers,Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,55,Male,2,4-year degree,Yes,Customer service representative,Customer Service Representatives,Part-time,Private (for-profit) sector,Yes,No,American Dollar,12500,25,Caucasian, 
United States, ,46,Male,5,2-year degree,Yes,content writer,Copy writer,Full-time,Private (for-profit) sector,Yes,No,American Dollar,12000,30,Caucasian, 
Canada, ,30,Male,1.5,High school/GED,Yes,Assembly Supervisor,First-Line Supervisors of Production and Operating Workers,Full-time,Private (for-profit) sector,Yes,No,Canadian Dollar,40000,55,Caucasian, 
United States, ,38,Female,1,4-year degree,Yes,Practice Manager,Medical and Health Services Managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,70000,37.5,Caucasian, 
United States, ,44,Male,1,High school/GED,Yes,forklift driver,"shipping, receiving, and traffic clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,40,Caucasian, 
United States, ,42,Female,4,4-year degree,Yes,Education Education,Teacher assistant,Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,30,Caucasian, 
United States, ,24,Male,1,High school/GED,Yes,Self Employed,All Other,Full-time,Private (for-profit) sector,No,Yes,I'd rather not say, ,40,African American, 
 , , , , , , , , , , , , , , , , , 
United States, ,27,Female,1,4-year degree,Yes,Cashier,Cashiers,Part-time,Private (for-profit) sector,Yes,No,American Dollar,10000,30,Caucasian, 
United States, ,44,Female,0,4-year degree,Yes,None (Homemaker), , , , ,Yes,I'd rather not say, ,0,Caucasian, 
United States, ,25,Female,4,4-year degree,Yes,Trainer,Human Resources Specialists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"32,000",40,Caucasian, 
United States, ,31,Female,3,2-year degree,Yes,LPN,"29-2061.00	Licensed Practical and Licensed Vocational Nurses",Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,40,Caucasian, 
United States, ,35,Female,6,High school/GED,Yes,manager,"Property, Real Estate, and Community Association Managers",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,35000,40,Caucasian, 
United States, ,37,Female,11,High school/GED,Yes,WAITRESS,waiters and waitresses,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,35,Caucasian, 
United States, ,22,Female,2,2-year degree,Yes,Cashier,Cashiers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"20,000",40,Caucasian, 
United States, ,28,Female,1,2-year degree,Yes,Instructor,"Nursing Instructors and Teachers, Postsecondary",Part-time,Private (for-profit) sector,Yes,No,American Dollar,29000,30,Caucasian, 
United States, ,47,Male,1,High school/GED,Yes,Motivation Coach,Self-Enrichment Education Teachers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,26000,45,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,54,Female,7,Masters or equivalent,Yes,Senior Contracts Specialist,purchasing manager,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,60000,45,Caucasian, 
United States, ,29,Female,2.5,4-year degree,Yes,homebound teacher,"Special Education Teachers, Secondary School",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"$51,000 ",40,Caucasian, 
United States, ,35,Female,1.5,High school/GED,Yes,cashier/manager,41-1011.00 First-Line Supervisors of Retail Sales Workers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"13,746.00",32,Caucasian, 
United States, ,24,Male,2,High school/GED,Yes,self employed,NA,Part-time,Private (for-profit) sector,No,Yes,American Dollar,15000,35,Caucasian, 
United States, ,19,Male,0.5,High school/GED,Yes,library assistant,library assistance,Part-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,8,Caucasian, 
United States, ,39,Female,10,Ph.D. or equivalent,No,researcher,biologist,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"25,000",30,Hispanic, 
United States, ,26,Female,1,4-year degree,Yes,Production Assistant,Broadcast Technicians,Full-time,Private (for-profit) sector,Yes,No,American Dollar,13000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,22,Female,4,4-year degree,Yes,Leasing Agent,"Property, Real Estate, and Community Association Managers",Part-time,Private (for-profit) sector,Yes,No,American Dollar,"$20,000 ",25,Native American, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,28,Male,6,4-year degree,Yes,module leader,Information Technology Project Managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"75,000",40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,24,Female,2,4-year degree,Yes,Graduate Student Researcher,Graduate Teaching Assistants,Part-time,Public (not-for-profit) sector,No,No,I'd rather not say, ,20,Caucasian, 
United States, ,44,Male,6,2-year degree,Yes,editor,Film and Video Editors,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,30,Hispanic, 
 , , , , , , , , , , , , , , , , , 
United States, ,33,Male,12,4-year degree,Yes,Supervisor, 51-1011.00 - First-Line Supervisors of Production and Operating Workers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,47000,65,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,22,Male,3,4-year degree,Yes,IT consultant,15-1152.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,46000,45,Caucasian, 
United States, ,29,Female,2,Masters or equivalent,Yes,architect,"17-1011.00 - Architects, Except Landscape and Naval",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"50,000",45,Caucasian, 
United States, ,27,Female,1,4-year degree,Yes,Tutor,Tutor,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"30,000",15,Caucasian, 
United States, ,41,Male,20,4-year degree,Yes,Software Engineer,Software Developers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,60000,80,Caucasian, 
United States, ,30,Male,1,2-year degree,Yes,Inventory Management Specialist,Management Analyst,Full-time,Private (for-profit) sector,Yes,No,American Dollar,45500,45,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,37,Female,11,High school/GED,Yes,waitress,waiters and waitresses,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,19,Male,0,High school/GED,Yes,Construction Laborer,Construction Laborer,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"20,000",50,Caucasian, 
United States, ,26,Female,2,4-year degree, ,Dental Assistant,31-9091.00 Dental Asslstants,Full-time,Private (for-profit) sector,Yes,No,American Dollar,45000,40,Hispanic, 
United States, ,22,Male,8,2-year degree,Yes,Dispatchor,"43-5032.00 - Dispatchers, Except Police, Fire, and Ambulance",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"80,000",50,Native American, 
 , , , , , , , , , , , , , , , , , 
United States, ,28,Female,1,2-year degree,Yes,RN,Registered Nurses,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"$45,000 ",36,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,32,Male,1,4-year degree,Yes,Toolroom Crib Attendant,43-5081.03,Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,40,Hispanic, 
United States, ,30,Male,3,High school/GED,Yes,Unit Clerk,Medical Secretaries,Full-time,Private (for-profit) sector,Yes,No,American Dollar,29000,40,Caucasian, 
United States, ,27,Male,1,4-year degree,Yes,help desk analyst,Computer User Support Specialists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,43k,38,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,42,Female,16,Ph.D. or equivalent,Yes,CRNA,Nurse Anesthetist,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,175000,48,Caucasian, 
United States, ,43,Female,14,2-year degree,Yes,Owner/CEO,41-2031.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,50000,40,Caucasian, 
United States, ,20,Female,0,High school/GED,Yes,Full-time student,Student,Full-time,Public (not-for-profit) sector,No,No,American Dollar,"10,000",12,African American, 
United States, ,50,Male,8,2-year degree,Yes,Accountant,"13-2011.01	Accountants",Full-time,Private (for-profit) sector,Yes,No,American Dollar,70000,50,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,26,Male,6,4-year degree,Yes,EMT,Emergency Medical Technicians and Paramedics,Full-time,Private (for-profit) sector,Yes,No,American Dollar,36000,40,Caucasian, 
United States, ,20,Male,2,High school/GED,Yes,IT Support/ Technical services,"15-1151.00	Computer User Support Specialists",Part-time,Private (for-profit) sector,Yes,No,American Dollar,"5,000",15,Caucasian, 
United States, ,28,Male,2,4-year degree,Yes,Associate Director,Marketing Manager,Full-time,Private (for-profit) sector,Yes,No,American Dollar,130000,55,Caucasian, 
United States, ,36,Female,17,High school/GED,Yes,Escrow Officer,"23-2093.00	Title Examiners, Abstractors, and Searchers",Full-time,Private (for-profit) sector,Yes,No,American Dollar,38000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,34,Male,5,Masters or equivalent,Yes,English Teacher,"Secondary School Teachers, Except Special and Career/Technical Education",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,75000,80,Caucasian, 
United States, ,28,Female,3,High school/GED,Yes, Administrative Assistant,Executive Secretaries and Executive Administrative Assistants,Full-time,Private (for-profit) sector,Yes,No,American Dollar,9120,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,36,Male,5,Masters or equivalent,Yes,IT Team Lead,Information Technology Project Managers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,92000,43,Caucasian, 
United States, ,31,Male,5,4-year degree,Yes,IT administrator,Network and Computer Systems Administrators,Full-time,Private (for-profit) sector,Yes,No,American Dollar,20000,35,Caucasian, 
United States, ,24,Male,1,High school/GED,No,Amazon,Amazon,Part-time,Private (for-profit) sector,No,No,I'd rather not say, ,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,34,Female,10,4-year degree,Yes,Editor,Editors,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,30,Female,1,4-year degree,Yes,Account Representative,"Sales Representatives, Services, All Other",Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,40,Caucasian, 
United States, ,28,Male,6,2-year degree,Yes,Operations Manager,27-2012.05,Full-time,Private (for-profit) sector,Yes,No,American Dollar,37000,45,Caucasian, 
United States, ,34,Female,5,Masters or equivalent,Yes,Technical Writer II,Technical Writers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,55000,40,Caucasian, 
United States, ,25,Female,0,4-year degree,Yes,Unemployed,Unemployed, , ,No,No,American Dollar,0,0,African American, 
Canada, ,23,Female,2,4-year degree,Yes,sales and operations representative,Sales representative,Full-time,Private (for-profit) sector,Yes,No,Canadian Dollar,"40,000",40,Other:,Middle eastern
United States, ,29,Female,3,4-year degree,Yes,Him,Medical records health information technician,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"670,004",40,Asian, 
United States, ,51,Female,27,2-year degree,Yes,Network Administrator,"15-1142.00	Network and Computer Systems Administrators",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,47000,37.5,Caucasian, 
United States, ,28,Female,2,2-year degree,Yes,Medical Assistant,"31-9092.00	Medical Assistants",Part-time,Private (for-profit) sector,Yes,No,American Dollar,"15,000",28,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,32,Male,1,4-year degree,Yes,Actor,Actor,Part-time,Private (for-profit) sector,Yes,No,American Dollar,30000,15,African American, 
 , , , , , , , , , , , , , , , , , 
United States, ,29,Male,7,2-year degree,Yes,Tech Coordinator,Network and Computer Systems Administrators,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"35,000",45,Caucasian, 
United States, ,28,Male,6,Masters or equivalent,Yes,membership manager,Social and Community Service Managers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,45000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,22,Male,1,4-year degree,Yes,Server,35-3021.00,Part-time,Private (for-profit) sector,Yes,No,American Dollar,15000,20,Asian, 
United States, ,43,Male,1,4-year degree,Yes,x-ray tech,Radiologic Technologists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,67000,40,Caucasian, 
United States, ,38,Male,9,2-year degree,Yes,foreman,industrial production managers,Part-time,Private (for-profit) sector,No,No, , ,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,31,Female,5,Masters or equivalent,Yes,Teacher,"25-2021.00  Elementary School Teachers, Except Special Education",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"56,000",45,Caucasian, 
United States, ,28,Female,7,Masters or equivalent,Yes,Financial Advisor,"11-3031.02 - Financial Managers, Branch or Department",Full-time,Private (for-profit) sector,Yes,Yes,American Dollar,"70,000",48,Native American, 
United States, ,31,Male,10,2-year degree,Yes,field tech,civil engineer,Part-time,Private (for-profit) sector,Yes,No,American Dollar,40000,40,Caucasian, 
United States, ,36,Female,8,High school/GED,Yes,supervisor of tree service,37-3013.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,35,Caucasian, 
United States, ,55,Female,2,High school/GED,Yes,Administrative Assistant,http://www.onetonline.org/find/match/1/43-6011.00?s=Administrative%20assistant,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"$35,000 ",20,Hispanic, 
United States, ,21,Female,2,High school/GED,Yes,Receptionist,43-4171.00 - Receptionists and Information Clerks,Full-time,Private (for-profit) sector,Yes,No,American Dollar,23000,40,Caucasian, 
United States, ,41,Male,6.5,2-year degree,Yes,Principal,"Education Administrators, Elementary and Secondary School",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,39000,40,Native American, 
United States, ,29,Female,3,4-year degree,Yes,brand activation manager,http://www.onetonline.org/find/match/1/11-2021.00?s=Brand%20activation%20manager,Part-time,Private (for-profit) sector,Yes,No,American Dollar,40000,30,Caucasian, 
United States, ,22,Female,4,Masters or equivalent,Yes,Manager,Store manager,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,50,Caucasian, 
United States, ,54,Male,24,4-year degree,Yes,Broadcast Coordinator,Broadcast Technicians,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,62000,40,Caucasian, 
United States, ,36,Male,1,4-year degree,Yes,Youth Director,"Directors, Religious Activities and Education",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,43000,50,Caucasian, 
United States, ,29,Female,5,4-year degree,Yes,Designer,Graphic Designer,Full-time,Private (for-profit) sector,Yes,No,American Dollar,45600,40,Caucasian, 
United States, ,31,Female,1,Masters or equivalent,Yes,Behavior Consultant,Instructional Coordinator,Part-time,Private (for-profit) sector,Yes,No,American Dollar,12000,10,Caucasian, 
United States, ,27,Female,2,4-year degree,Yes,Customer Service Coordinator,Customer Service Coordinator,Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,40,Other:,bi-racial
United States, ,20,Male,1,High school/GED,Yes,Ride Associate,Amusement and Recreation Attendants,Part-time,Private (for-profit) sector,Yes,No,American Dollar,8000,20,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,27,Female,3,High school/GED,Yes,Transcriptionist,Medical Transcriptionists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,25000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,26,Male,1,High school/GED,Yes,night auditor,"Hotel, Motel, and Resort Desk Clerks",Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,41,Caucasian, 
United States, ,35,Female,5,2-year degree,Yes,sales clerk,41-2031.00,Full-time,Private (for-profit) sector,Yes, ,American Dollar,25000,41,Hispanic, 
United States, ,36,Male,1,4-year degree,Yes,Transportation Generalist Senior,Transportation Managers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"$44,000 ",40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,55,Male,3,4-year degree,Yes,Security officer,Security Guards,Full-time,Private (for-profit) sector,Yes,No,American Dollar,25000,40,African American, 
United States, ,26,Female,2,Masters or equivalent,Yes,Public Librarian,Librarians,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"52,100",37,Caucasian, 
United States, ,42,Female,15,High school/GED,Yes,inventory specialist," Production, Planning, and Expediting Clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,60000,40,Caucasian, 
United States, ,35,Female,5,Masters or equivalent,Yes,Reference librarian,Librarians,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,39000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,42,Female,7,Masters or equivalent,Yes,staff photographer,Photographer,Full-time,Private (for-profit) sector,No,No,I'd rather not say, ,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,33,Female,1,High school/GED,Yes,Operations Manager and Secretary,Lodging Managers and File Clerks,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"$16,000 ",43,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,44,Female,3,2-year degree,Yes,stylist,"39-5012.00    Hairdressers, Hairstylists, and Cosmetologists",Full-time,Private (for-profit) sector,Yes,No,American Dollar,32000,32,Caucasian, 
United States, ,23,Male,1,High school/GED,Yes,Pharmacy Technician,Pharmacy Technicians,Part-time,Private (for-profit) sector,Yes,No,American Dollar,8632,24,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,45,Female,<1,High school/GED,Yes,Mechanical Turk,production workers all others,Part-time,Public (not-for-profit) sector,No,Yes,American Dollar,"12,000",40,Caucasian, 
Canada, ,34,Female,2 years,4-year degree,Yes,Assistant Manager,First-Line Supervisors of Food Preparation and Serving Workers,Full-time,Public (not-for-profit) sector,Yes,No,Canadian Dollar,"35,000",45,Caucasian, 
United States, ,51,Male,2,2-year degree,Yes,sales associate,"41-4011.00	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Full-time,Private (for-profit) sector,Yes,No,American Dollar,25000,51,Caucasian, 
United States, ,32,Female,8,4-year degree,Yes,Member Service Rep,Customer Service Representative,Part-time,Public (not-for-profit) sector,Yes,No,American Dollar,"40,000",25,Caucasian, 
United States, ,54,Female,11,4-year degree,Yes,Home Health Aide,31-1011.00 Home Health Aides,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"24,000.00",30,Caucasian, 
United States, ,31,Male,5,4-year degree,Yes,receiver,"Shipping, Receiving, and Traffic Clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,18000,40,Caucasian, 
United States, ,40,Female,7,4-year degree,Yes,salon owner,owner,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"28,000",30,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,27,Female,3,Masters or equivalent,Yes,Software Engineer, ,Full-time,Private (for-profit) sector,No,Yes,American Dollar,30000,40,Native American, 
United States, ,34,Male,1,4-year degree,Yes,Sales,Sales managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,45000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,51,Female,29,4-year degree,Yes,Senior Chemist,Chemists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,82000,40,Caucasian, 
United States, ,59,Female,2,Masters or equivalent,Yes,Administrative Assistant, ,Part-time,Private (for-profit) sector,Yes,No,American Dollar,25000,30,Caucasian, 
United States, ,44,Male,16,High school/GED,Yes,law enforcement,"criminal justice and law enforcement teachers, secondary",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,84000,45,Caucasian, 
