Self-Reported Job Title,O*NET Occupation Title,O*NET Job Code,O*NET Job Complexity (5-point scale),Impact of Decisions,Consequences of Error,Responsibility for Others,Unstructured (vs. Structured) Work,Freedom to Make Decisions,Independence in Completing Work,Attention to Detail,Social Skills,Level of Competition,Innovation,Dealing With Unpleasant or Angry People 
science Teacher,"Biological Science Teachers, Postsecondary",25-1042.00,5,70,28,54,94,93,92,83,95,56,80,40
Lecturer,"Chemistry Teachers, Postsecondary",25-1052.00,5,70,48,64,91,94,90,78,95,67,82,45
Associate Professor,"Psychology Teachers, Postsecondary",25-1066.00,5,67,22,21,85,91,81,79,95,68,77,38
Lecturer,"Psychology Teachers, Postsecondary",25-1066.00 ,5,67,22,21,85,91,81,79,95,68,77,38
University Teaching Assistant,"Sociology Teachers, Postsecondary",25-1067.00,5,58,21,26,98,99,89,85,100,68,84,38
Instructor,"Nursing Instructors and Teachers, Postsecondary",25-1072.00,5,79,71,52,94,94,81,83,100,35,80,52
Continuing Lecturer,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,5,62,26,36,93,94,92,83,95,53,86,30
Instructor of Converging Communication Technology,"Communications Teachers, Postsecondary",25-1122.00,5,69,23,25,90,93,86,85,100,48,82,46
teacher,"English Language and Literature Teachers, Postsecondary",25-1123.00,5,70,25,24,95,97,83,86,89,67,83,38
professor,"English Language and Literature Teachers, Postsecondary",25-1123.00 ,5,70,25,24,95,97,83,86,89,67,83,38
Associate Professor," Philosophy and Religion Teachers, Postsecondary",25-1126.00,5,76,49,21,95,94,92,82,100,50,77,30
part-time university professor,"Philosophy and Religion Teachers, Postsecondary",25-1126.00,5,76,49,21,95,94,92,82,100,50,77,30
Graduate Teaching Assistant,Graduate Teaching Assistants,25-1191.00,5,50,39,24,61,76,74,82,89,39,60,33
visiting teaching assistant  professor,Graduate Teaching Assistants,25-1191.00,5,50,39,24,61,76,74,82,89,39,60,33
Research Assistant,Graduate Teaching Assistants,25-1191.00,5,50,39,24,61,76,74,82,89,39,60,33
PhD Graduate Student,Graduate Teaching Assistants,25-1191.00,5,50,39,24,61,76,74,82,89,39,60,33
Graduate Teaching Assistant,Graduate Teaching Assistants,25-1191.00,5,50,39,24,61,76,74,82,89,39,60,33
Teacher,"Preschool Teachers, Except Special Education",25-2011.00,3,75,45,63,81,83,74,72,100,30,77,51
teacher,"Preschool teachers,except special education",25-2011.00,3,75,45,63,81,83,74,72,100,30,77,51
Teacher,"Elementary School Teachers, Except Special Education",25-2021.00,4,79,30,60,80,80,78,83,100,39,79,59
teacher,"Elementary School Teachers, Except Special Education",25-2021.00,4,79,30,60,80,80,78,83,100,39,79,59
Teacher,"Elementary School Teachers, Except Special Education",25-2021.00,4,79,30,60,80,80,78,83,100,39,79,59
Teacher,"Elementary School Teachers, Except Special Education",25-2021.00,4,79,30,60,80,80,78,83,100,39,79,59
Middle School Math Teacher,"Middle School Teachers, Except Special and Career/Technical Education  ",25-2022.00,4,63,40,52,84,90,84,93,100,42,84,69
middle school vocal music teacher,"Middle School Teachers, Except Special and Career/Technical Education  ",25-2022.00,4,63,40,52,84,90,84,93,100,42,84,69
Teacher,"Middle School Teachers, Except Special and Career/Technical Education  ",25-2022.00,4,63,40,52,84,90,84,93,100,42,84,69
Science teacher,"Middle School Teachers, Except Special and Career/Technical Education  ",25-2022.00,4,63,40,52,84,90,84,93,100,42,84,69
7th grade teacher,"Middle School Teachers, Except Special and Career/Technical Education  ",25-2022.00 ,4,63,40,52,84,90,84,93,100,42,84,69
Secondary Language Arts Instructor,Secondary School Teachers,25-2031.00,4,73,27,56,74,79,74,79,100,48,77,76
Substitute Teacher,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,4,73,27,56,74,79,74,79,100,48,77,76
High School Teacher,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,4,73,27,56,74,79,74,79,100,48,77,76
High School Biology Teacher,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,4,73,27,56,74,79,74,79,100,48,77,76
Teacher,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,4,73,27,56,74,79,74,79,100,48,77,76
Teacher,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,4,73,27,56,74,79,74,79,100,48,77,76
English Teacher,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,4,73,27,56,74,79,74,79,100,48,77,76
Special Education TEacher,"Special Education Teachers, Kindergarten and Elementary School",25-2052.00,4,80,48,52,88,81,88,91,100,47,69,53
teacher,"Special Education Teachers, Kindergarten and Elementary School",25-2052.00,4,80,48,52,88,81,88,91,100,47,69,53
Teacher,"Special Education Teachers, Kindergarten and Elementary School",25-2052.00,4,80,48,52,88,81,88,91,100,47,69,53
Intervention Specialist,"Special Education Teachers, Middle School",25-2053.00,4,73,35,56,77,79,80,85,100,44,71,55
Teacher,"Special Education Teachers, Middle School",25-2053.00,4,73,35,56,77,79,80,85,100,44,71,55
Teacher,"Special Education Teachers, Middle School",25-2053.00 ,4,73,35,56,77,79,80,85,100,44,71,55
Special Education,"Special Education Teachers, Middle School",25-2053.00 ,4,73,35,56,77,79,80,85,100,44,71,55
Teacher,"Special Education Teachers, Middle School",25-2053.00 ,4,73,35,56,77,79,80,85,100,44,71,55
teacher,"Special Education Teachers, Secondary School",25-2054.00,4,69,47,54,78,80,79,83,100,40,74,73
Teacher,"Special Education Teachers, Secondary School",25-2054.00,4,69,47,54,78,80,79,83,100,40,74,73
Teacher,"Special Education Teachers, Secondary School",25-2054.00,4,69,47,54,78,80,79,83,100,40,74,73
Motivation Coach,Self-Enrichment Education Teachers,25-3021.00,3,69,38,57,75,85,83,80,100,43,80,32
Regional Extension Educator,"Teachers and Instructors, All Other",25-3099.00,,,,,,,,,,,,
Tutor,Tutors  ,25-3099.02,4,49,18,27,78,73,76,80,95,33,60,41
ESL Tutor,Tutors  ,25-3099.02,4,49,18,27,78,73,76,80,95,33,60,41
Writing Tutor,Tutors  ,25-3099.02,4,49,18,27,78,73,76,80,95,33,60,41
Archives Specialist,Archivists,25-4011.00,5,55,36,30,78,85,69,94,39,38,60,35
"Research Associate, Online Sales and Social Media Manager",Archivists,25-4011.00,5,55,36,30,78,85,69,94,39,38,60,35
Museum Collections Manager,Museum Technicians and Conservators,25-4013.00,4,62,46,41,91,90,85,99,11,51,82,21
library director,Librarians,25-4021.00,5,63,27,30,89,91,81,84,72,26,72,44
Reference librarian,Librarians,25-4021.00,5,63,27,30,89,91,81,84,72,26,72,44
Public Librarian,Librarians,25-4021.00,5,63,27,30,89,91,81,84,72,26,72,44
librarian,Librarians,25-4021.00 ,5,63,27,30,89,91,81,84,72,26,72,44
Circulation Clerk,Library Technicians,25-4031.00,4,54,58,31,70,67,83,86,67,13,54,58
Library Tech,Library Technicians,25-4031.00,4,54,58,31,70,67,83,86,67,13,54,58
Library Assistant,Library Technicians,25-4031.00,4,54,58,31,70,67,83,86,67,13,54,58
Behavior Consultant,Instructional Coordinators,25-9031.00,5,60,40,47,84,76,83,87,95,55,77,61
Instructional Coach,Instructional Coordinators,25-9031.00,5,60,40,47,84,76,83,87,95,55,77,61
Instructional Paraprofessional,Teacher Assistants,25-9041.00,3,57,24,38,64,71,76,79,100,15,73,38
Education Education,Teacher Assistants,25-9041.00,3,57,24,38,64,71,76,79,100,15,73,38
Student Assistant,Teacher Assistants,25-9041.00,3,57,24,38,64,71,76,79,100,15,73,38
Instructional Assistant,Teacher Assistants,25-9041.00,3,57,24,38,64,71,76,79,100,15,73,38
paraprofessional,Teacher Assistants,25-9041.00,3,57,24,38,64,71,76,79,100,15,73,38
,Fine Artist,27-1013.00,3,57,24,35,94,97,90,94,17,63,90,25
Illustrator,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00,3,57,24,35,94,97,90,94,17,63,90,25
artist,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00,3,57,24,35,94,97,90,94,17,63,90,25
Paint Studio Assistant,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00,3,57,24,35,94,97,90,94,17,63,90,25
Multimedia Animator,Multimedia Artists and Animators,27-1014.00,4,71,30,37,77,89,55,93,6,71,69,32
Artist,Multimedia Artists and Animators,27-1014.00,4,71,30,37,77,89,55,93,6,71,69,32
Artist in Residence,Artists and Related Workers,27-1019.00,n/a,71,30,37,77,89,55,93,6,71,69,32
Designer,Graphic Designer,27-1024.00,4,67,38,11,75,73,60,95,17,83,94,35
Graphic designer,Graphic Designers,27-1024.00,4,67,38,11,75,73,60,95,17,83,94,35
Head Graphic Designer,Graphic Designers,27-1024.00,4,67,38,11,75,73,60,95,17,83,94,35
Web Designer,Graphic Designers,27-1024.00,4,67,38,11,75,73,60,95,17,83,94,35
Actor,Actor,27-2011.00,2,62,18,27,62,63,77,92,33,79,82,24
parts department manager,,27-2011.00,2,62,18,27,62,63,77,92,33,79,82,24
producer,Producers,27-2012.01,4,88,43,38,88,89,73,93,33,77,72,63
Assistant Director,Program Director,27-2012.03,4,71,40,41,89,89,83,90,28,78,85,63
Admissions Director,Program Directors,27-2012.03,4,71,40,41,89,89,83,90,28,78,85,63
Program coordinator,Program Directors,27-2012.03,4,71,40,41,89,89,83,90,28,78,85,63
Program Director,Program Directors,27-2012.03,4,71,40,41,89,89,83,90,28,78,85,63
Director of Program Operations,Program Directors,27-2012.03,4,71,40,41,89,89,83,90,28,78,85,63
Health and Fitness Coach,Coaches and Scouts,27-2022.00,4,70,43,69,86,85,74,87,83,87,77,58
Student / Coach (Summer),Coaches and Scouts,27-2022.00,4,70,43,69,86,85,74,87,83,87,77,58
Pianist,"Musicians, Instrumental",27-2042.02,3,54,33,10,45,62,55,94,17,68,46,32
Professional Musician,"Musicians, Instrumental",27-2042.02,3,54,33,10,45,62,55,94,17,68,46,32
Communications Manager,Public Relations Specialists,27-3031.00,4,75,52,24,74,72,91,91,61,67,70,52
Volunteer & Outreach Coordinator,Public Relations Specialists,27-3031.00,4,75,52,24,74,72,91,91,61,67,70,52
Writer and Editor,Editors,27-3041.00,4,81,36,18,84,89,78,96,17,69,85,39
Editor,Editors,27-3041.00,4,81,36,18,84,89,78,96,17,69,85,39
Assistant Editor,Editors,27-3041.00,4,81,36,18,84,89,78,96,17,69,85,39
photo editor,Editors,27-3041.00,4,81,36,18,84,89,78,96,17,69,85,39
Editor,Editors,27-3041.00,4,81,36,18,84,89,78,96,17,69,85,39
Editor,Editors,27-3041.00,4,81,36,18,84,89,78,96,17,69,85,39
quality assurance editor,Technical Writers,27-3042.00,4,61,34,18,63,85,80,94,6,51,64,30
Technical Writer II,Technical Writers,27-3042.00,4,61,34,18,63,85,80,94,6,51,64,30
Artist/Writer,Writers and Authors,27-3043.00 ,,,,,,,,,,,,
script analyst,Writers and Authors,27-3043.00 ,,,,,,,,,,,,
content writer,Copy writer,27-3043.04,4,70,21,24,83,80,70,95,22,60,90,57
Review Writer," Poets, Lyricists and Creative Writers",27-3043.05 ,4,63,29,8,95,99,92,84,22,95,93,22
Audio Tech,Audio and Video Equipment Technicians,27-4011.00,3,66,41,28,69,78,70,80,0,32,59,30
Audio Tech,Audio and Video Equipment Technicians,27-4011.00,3,66,41,28,69,78,70,80,0,32,59,30
Broadcast Engineer,Broadcast Technicians,27-4012.00,3,56,47,29,71,68,78,91,11,32,74,29
Broadcast Coordinator,Broadcast Technicians,27-4012.00,3,56,47,29,71,68,78,91,11,32,74,29
Production Assistant,Broadcast Technicians,27-4012.00,3,56,47,29,71,68,78,91,11,32,74,29
Sound Engineering, Sound Engineering Technicians,27-4014.00 ,3,79,59,26,78,88,78,95,0,89,79,47
Photo Assistant,Photographers,27-4021.00,3,62,29,32,74,80,72,88,22,91,77,26
editor,Film and Video Editors,27-4032.00,3,73,24,15,83,83,67,95,11,60,71,35
pharmacy intern,Pharmacists,29-1051.00,5,95,95,69,84,89,70,96,56,71,46,80
pharmacist in charge,Pharmacists,29-1051.00 ,5,95,95,69,84,89,70,96,56,71,46,80
Physician,Hospitalists,29-1069.03,5,95,94,57,84,95,76,94,89,70,46,78
Physician assistant,Physician assistants,29-1071.00,5,88,78,65,76,81,79,93,89,61,58,71
therapist,occupational therapist,29-1122.00,5,76,58,79,85,82,81,76,100,41,73,
COMS,"	Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists ",29-1122.01,5,75,53,58,88,87,90,85,100,37,78,43
physical therapist,Physical Therapists,29-1123.00,5,79,54,68,87,88,83,81,100,48,71,57
Speech Language Pathologist,Speech Language Pathologist,29-1127.00,5,69,35,38,86,87,80,89,95,37,68,42
Nurse,Registered Nurses,29-1141.00,3,88,74,73,86,83,82,95,100,57,68,69
Registered Nurse,Registered Nurses,29-1141.00,3,88,74,73,86,83,82,95,100,57,68,69
Student,Registered Nurses,29-1141.00,3,88,74,73,86,83,82,95,100,57,68,69
RN,Registered Nurses,29-1141.00,3,88,74,73,86,83,82,95,100,57,68,69
RN,Registered Nurses,29-1141.00,3,88,74,73,86,83,82,95,100,57,68,69
RN,Registered Nurses,29-1141.00,3,88,74,73,86,83,82,95,100,57,68,69
Registered Nurse,Registered Nurses,29-1141.00,3,88,74,73,86,83,82,95,100,57,68,69
Nurse,Registered Nurses,29-1141.00,3,88,74,73,86,83,82,95,100,57,68,69
CRNA,Nurse Anesthetist,29-1151.00,5,92,94,81,90,96,90,98,56,74,73,66
Audiologist,Audiologists,29-1181.00,5,76,52,37,81,94,81,88,89,58,47,54
Certified Medical Technologist,Medical and Clinical Laboratory Technologist,29-2011.00,4,96,75,70,81,87,74,97,17,44,52,64
Lab Research Assistant,Medical and Clinical Laboratory Technologists,29-2011.00,4,96,75,70,81,87,74,97,17,44,52,64
MT,Medical and Clinical Laboratory Technologists,29-2011.00,4,96,75,70,81,87,74,97,17,44,52,64
Cytogenetic Technologist,Cytogenetic Technologists,29-2011.01,4,79,81,68,65,67,65,99,22,47,45,27
Laboratory Technologist,Medical and Clinical Laboratory Technicians,29-2012.00,3,64,69,60,73,72,88,97,50,32,57,54
Cardiovascular Ultrasound Technologist,Diagnostic Medical Sonographer,29-2032.00,3,76,63,55,70,80,93,96,78,50,66,65
x-ray tech,Radiologic Technologists,29-2034.00,3,74,62,73,74,79,86,90,67,64,66,74
EMT,Emergency Medical Technicians and Paramedics,29-2041.00,3,97,90,93,76,89,78,85,89,60,68,78
Medication Technician,Emergency Medical Technicians and Paramedics,29-2041.00,3,97,90,93,76,89,78,85,89,60,68,78
EMT,Emergency Medical Technicians and Paramedics,29-2041.00,3,97,90,93,76,89,78,85,89,60,68,78
tech,pharmacy tech,29-2052.00,3,64,68,49,62,53,67,93,45,49,53,76
Pharmacisy technician,pharmacy technician,29-2052.00,3,64,68,49,62,53,67,93,45,49,53,76
Pharmacy Intern,Pharmacy Technician,29-2052.00,3,64,68,49,62,53,67,93,45,49,53,76
CPhT/University Student,Pharmacy Technicians,29-2052.00,3,64,68,49,62,53,67,93,45,49,53,76
Lead Compounding Pharmacy Technician,Pharmacy Technicians,29-2052.00,3,64,68,49,62,53,67,93,45,49,53,76
Pharmacy tech,Pharmacy Technicians,29-2052.00,3,64,68,49,62,53,67,93,45,49,53,76
Pharmacy Technician,Pharmacy Technicians,29-2052.00,3,64,68,49,62,53,67,93,45,49,53,76
Pharmacy Technician,Pharmacy Technicians,29-2052.00,3,64,68,49,62,53,67,93,45,49,53,76
Health Care,Surgical Technologist,29-2055.00,3,88,82,84,78,70,82,93,67,55,69,53
Licensed veterinary technician,Veterinary Technologists and Technicians,29-2056.00 ,3,89,92,78,67,67,70,93,33,44,61,62
lpn,Licensed Practical and Licensed Vocational Nurses,29-2061.00,3,75,68,84,78,86,81,95,100,35,68,77
LPN,Licensed Practical and Licensed Vocational Nurses,29-2061.00,3,75,68,84,78,86,81,95,100,35,68,77
lpn,Licensed Practical and Licensed Vocational Nurses,29-2061.00,3,75,68,84,78,86,81,95,100,35,68,77
Medical Records Technician,Medical Records and Health Information Technicians,29-2071.00,3,63,22,28,74,72,81,89,22,20,62,40
Medical Claims Processor,Medical Records and Health Information Technicians,29-2071.00,3,63,22,28,74,72,81,89,22,20,62,40
health information system manager,Medical Records and Health Information Technicians,29-2071.00,3,63,22,28,74,72,81,89,22,20,62,40
Medical Coding Analyst,Medical Records and Health Information Technicians,29-2071.00,3,63,22,28,74,72,81,89,22,20,62,40
Him,Medical records health information technician,29-2071.00,3,63,22,28,74,72,81,89,22,20,62,40
Radiologic tech,Radiographic technician,29-2099.06,3,64,49,62,74,82,76,85,45,44,70,69
Habilitation Staff,Home Health Aide,31-1011.00,2,74,67,64,66,62,79,87,100,37,57,49
Personal Assistant,Home Health Aides,31-1011.00,2,74,67,64,66,62,79,87,100,37,57,49
careguver,Home Health Aides,31-1011.00,2,74,67,64,66,62,79,87,100,37,57,49
caregiver,Home Health Aides,31-1011.00,2,74,67,64,66,62,79,87,100,37,57,49
In-home Aide-Care Provider,Home Health Aides,31-1011.00,2,74,67,64,66,62,79,87,100,37,57,49
Volunteer Coordinator,Psychiatric Aides,31-1013.00,2,60,50,86,67,56,75,87,100,23,70,68
Nurse's aide,Nursing Assistants,31-1014.00,2,70,60,79,70,60,77,88,95,35,71,59
cna,Nursing Assistants,31-1014.00,2,70,60,79,70,60,77,88,95,35,71,59
Attendant,Orderlies,31-1015.00,,,,,,,,,39,,,
Dental assistant/ office manager,Dental Assistants ,31-9091.00,3,67,38,76,70,61,81,93,61,34,60,59
Educator,Dental Assistant,31-9091.00 ,3,67,38,76,70,61,81,93,61,34,60,59
dental assistant,Dental Assistant,31-9091.00 ,3,67,38,76,70,61,81,93,61,34,60,59
Dental Assistant,Dental Assistants,31-9091.00 ,3,67,38,76,70,61,81,93,61,34,60,59
Dental Assistant,Dental Assistants,31-9091.00 ,3,67,38,76,70,61,81,93,61,34,60,59
Medical Inter,Medical Assistants  ,31-9092.00,3,66,75,76,70,63,80,95,89,39,69,73
Clinic assistant,Medical Assistants  ,31-9092.00,3,66,75,76,70,63,80,95,89,39,69,73
Medical Office Assistant,Medical Assistants  ,31-9092.00,3,66,75,76,70,63,80,95,89,39,69,73
Medical Assistant,Medical Assistants  ,31-9092.00,3,66,75,76,70,63,80,95,89,39,69,73
Transcriptionist,Medical Transcriptionists,31-9094.00,3,46,43,24,84,70,87,89,17,29,46,23
Transcriber.,Medical Transcriptionists,31-9094.00,3,46,43,24,84,70,87,89,17,29,46,23
CERTIFIED TRAINING OFFICER,CORRECTIONAL OFFICERS AND JAILERS,33-3012.00,,79,65,86,69,79,79,89,28,42,67,96
Detective, Police Detectives,33-3021.01,,94,83,71,84,92,77,91,39,50,72,83
Investigator,Criminal Investigators and Special Agents,33-3021.03,3,90,73,63,85,92,71,89,28,47,67,78
Community Service Officer,Police Patrol Officers ,33-3051.01,,87,74,85,76,93,79,92,50,64,65,95
Security officer,Security Guards,33-9032.00,,78,49,81,73,84,53,51,39,37,46,66
TSO,Transportation Security Screeners,33-9093.00,2,66,71,58,41,50,54,86,28,37,38,91
chef,Chefs and Head Cooks,35-1011.00,3,67,56,83,61,75,70,93,39,76,70,49
Head Chef,Chefs and Head Cooks,35-1011.00,3,67,56,83,61,75,70,93,39,76,70,49
Assistant Manager,First-Line Supervisors of Food Preparation and Serving Workers,35-1012.00,,79,47,77,74,77,65,79,45,58,53,71
supervisor,First-Line Supervisors of Food Preparation and Serving Workers,35-1012.00,,79,47,77,74,77,65,79,45,58,53,71
Culvers Cook,"Cooks, Fast Food",35-2011.00,,51,31,48,64,70,51,60,28,45,37,60
line cook,"cooks,fast food",35-2011.00,,51,31,48,64,70,51,60,28,45,37,60
cook," Cooks, Institution and Cafeteria",35-2012.00 ,,65,39,83,61,59,70,72,45,60,57,71
cook,"Cooks, Restaurant",35-2014.00,,60,33,60,60,52,58,75,22,40,52,50
cook,"Cooks, Restaurant",35-2014.00,,60,33,60,60,52,58,75,22,40,52,50
Banquet CSU,"Cooks, Restaurant ",35-2014.00,,60,33,60,60,52,58,75,22,40,52,50
Prep Cook,"Cooks, Restaurant ",35-2014.00,,60,33,60,60,52,58,75,22,40,52,50
Garde Manger,"Cooks, Restaurant",35-2014.00,,60,33,60,60,52,58,75,22,40,52,50
Food Preparer,Food Preparation worker,35-2021.00,,54,24,74,62,50,59,81,28,26,50,48
bartender,Bartenders,35-3011.00,,72,25,61,82,76,76,79,45,43,66,67
Bar Manager,Bartenders,35-3011.00,,72,25,61,82,76,76,79,45,43,66,67
Quick Service Attendant,"Combined Food Preparation and Serving Workers, Including Fast Food",35-3021.00,1,56,31,64,52,56,41,65,39,58,37,77
Server,"Food Servers, Nonrestaurant",35-3021.00,1,52,22,71,64,67,69,70,39,43,47,55
counter crew,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00,1,45,17,47,50,50,52,72,72,30,48,56
Movie Theater Concessionist,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00,1,45,17,47,50,50,52,72,72,30,48,56
Clerk,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00,1,45,17,47,50,50,52,72,72,30,48,56
waitress,Waiters and Waitresses,35-3031.00,1,64,28,48,60,68,52,72,78,40,39,61
Server,Waiters and Waitresses,35-3031.00,1,64,28,48,60,68,52,72,78,40,39,61
Server,Waiters and Waitresses,35-3031.00,1,64,28,48,60,68,52,72,78,40,39,61
Waitress/Assistant Manager,Waiters and Waitresses,35-3031.00,1,64,28,48,60,68,52,72,78,40,39,61
Food Server/Waiter,Waiters and Waitresses,35-3031.00,1,64,28,48,60,68,52,72,78,40,39,61
Waiter,Waiters and Waitresses,35-3031.00,1,64,28,48,60,68,52,72,78,40,39,61
Server,Waiters and Waitresses ,35-3031.00,1,64,28,48,60,68,52,72,78,40,39,61
Waiter,Waiter,35-3031.01,1,64,28,48,60,68,52,72,78,40,39,61
Host,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,,53,25,34,53,56,62,62,56,36,48,76
Custodian,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011.00,2,61,32,69,77,79,77,74,6,44,43,49
AAVE,Maids and Housekeeping Cleaners,37-2012.00,,63,8,69,73,77,77,77,33,32,57,45
Landscaper,Landscaping and Groundskeeping Workers,37-3011.00,1,54,48,58,54,38,64,79,6,44,51,58
landscape specialist,Landscaping and Groundskeeping Workers,37-3011.00,1,54,48,58,54,38,64,79,6,44,51,58
supervisor of tree service,Tree Trimmers and Pruners,37-3013.00,,79,70,84,80,86,60,75,6,53,58,48
Owner,Animal Trainers,39-2011.00,2,75,44,65,88,95,79,82,45,45,70,43
Animal Keeper,Nonfarm Animal Caretakers,39-2021.00,,77,48,50,82,79,86,88,39,45,65,49
Kennel Manager,Nonfarm Animal Caretakers,39-2021.00,,77,48,50,82,79,86,88,39,45,65,49
Pro Poker Player,Gaming Dealers,39-3011.00,,69,39,42,40,36,54,89,22,54,34,81
IT,Amusement and Recreation Attendants,39-3091.00,1,64,53,90,58,75,44,69,39,28,39,81
Ride Associate,Amusement and Recreation Attendants,39-3091.00,,64,53,90,58,75,44,69,39,28,39,81
Hair Stylist,"Hairdressers, Hairstylists, and Cosmetologists",39-5012.00,,68,28,25,100,100,85,93,61,66,88,50
stylist,"Hairdressers, Hairstylists, and Cosmetologists",39-5012.00 ,3,68,28,25,100,100,85,93,61,66,88,50
at-home parent,childcare worker,39-9011.00,2,55,63,71,72,77,72,79,100,26,66,48
Nursery Volunteer,Childcare Workers,39-9011.00,2,55,63,71,72,77,72,79,100,26,66,48
Childcare Worker,Childcare Workers,39-9011.00,2,55,63,71,72,77,72,79,100,26,66,48
Nanny,Nannies,39-9011.01,3,74,63,57,81,94,93,80,100,38,86,57
nanny,nannies,39-9011.01,,74,63,57,81,94,93,80,100,38,86,57
Nanny,Nannies,39-9011.01,,74,63,57,81,94,93,80,100,38,86,57
Personal Assistant to Disabled Consumer,Personal Care Aide,39-9021.00,2,75,60,68,76,66,80,81,100,44,62,53
Homemaker,Personal Care Aide,39-9021.00,2,75,60,68,76,66,80,81,100,44,62,53
care provider,personal care aide,39-9021.00,2,75,60,68,76,66,80,81,100,44,62,53
residential care aide,personal care aide,39-9021.00,2,75,60,68,76,66,80,81,100,44,62,53
Homemaker,Personal Care Aides,39-9021.00,2,75,60,68,76,66,80,81,100,44,62,53
Caretaker,Personal Care Aides,39-9021.00,2,75,60,68,76,66,80,81,100,44,62,53
Meals on Wheels Manager,Personal Care Aides,39-9021.00,2,75,60,68,76,66,80,81,100,44,62,53
Homemaker,Personal Care Aides,39-9021.00,2,75,60,68,76,66,80,81,100,44,62,53
personal trainer,Fitness Trainers and Aerobics Instructors,39-9031.00,,61,40,51,88,93,83,77,100,56,74,35
Residential Counselor,Residential Advisors,39-9041.00,,63,39,83,82,81,82,79,95,46,63,64
Department Manager,First-Line Supervisors of Retail Sales Workers,41-1011.00,2,75,38,67,81,86,78,77,56,50,70,73
Assistant Manager,First-Line Supervisors of Retail Sales Workers,41-1011.00,2,75,38,67,81,86,78,77,56,50,70,73
assistant manager,First-Line Supervisors of Retail Sales Workers,41-1011.00,2,75,38,67,81,86,78,77,56,50,70,73
dairy and Frozen manager,First-Line Supervisors of Retail Sales Workers,41-1011.00,2,75,38,67,81,86,78,77,56,50,70,73
Retail Assistant Manager,First-Line Supervisors of Retail Sales Workers,41-1011.00,2,75,38,67,81,86,78,77,56,50,70,73
Store Manager,First-Line Supervisors of Retail Sales Workers,41-1011.00,2,75,38,67,81,86,78,77,56,50,70,73
NOYFB,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,4,78,50,60,93,89,73,79,56,57,61,56
Supervisor,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,4,78,50,60,93,89,73,79,56,57,61,56
sales associate,sales representative,41-1012.00,4,78,50,60,93,89,73,79,56,57,61,56
Cashier,Cashier,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,Cashier,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
cashier,Cashier,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,Cashier,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
cashier,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
cashier,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Bagger,Cashiers,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
cashier,Cashiers ,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
cashier,Cashiers ,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Cashier,hospitality,41-2011.00,1,54,23,33,55,57,68,76,28,27,45,62
Retail,Retail Salespersons,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
salesman,Retail Salespersons,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
Sales Consultant,Retail Salespersons,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
sales associate,Retail Salespersons,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
service advisor,Retail Salespersons,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
Sales Associate,Retail Salespersons,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
